a
à
â
abord
absolument
actuellement
afin
ah
ai
aie
ainsi
allait
allaient
allo
allô
allons
alors
apparement
approximativement
après
assez
assurément
attendu
attendus
au
aucun
aucuns
aucune
aucunement
aucunes
aujourd
aujourd'hui
auparavant
auquel
aura
aurai
auront
aussi
aussitôt
autant
autre
autrefois
autrement
autres
aux
auxquelles
auxquels
avaient
avais
avait
avant
avec
avoir
ayant
b
bah
beaucoup
bien
bientôt
bigre
bon
bonne
bonnes
bons
boum
bravo
brrr
c
ça
car
ce
ceci
cela
celle
celle-ci
celle-là
celles
celles-ci
celles-là
celui
celui-ci
celui-là
cent
cependant
certain
certaine
certainement
certaines
certains
certes
ces
cet
cette
ceux
ceux-ci
ceux-là
chacun
chacune
chacunes
chacuns
chaque
chaques
cher
chère
chères
chers
chez
chiche
chut
ci
cinq
cinquantaine
cinquante
cinquantième
cinquième
clac
clic
combien
comme
comment
complètement
compris
concernant
contre
couic
crac
d
da
dans
davantage
de
début
débuts
debout
dedans
dehors
déja
delà
demain
demi
depuis
derechef
derrière
des
dès
désormais
desquelles
desquels
dessous
dessus
deux
deuxième
deuxièmement
devant
devers
devra
devraient
devrait
diablement
différent
différente
différentes
différents
dire
divers
diverse
diverses
divinement
dix
dix-huit
dixième
dix-neuf
dix-sept
doit
doivent
donc
dont
dorénavant
dos
douze
douzième
dring
droite
drôlement
du
duquel
durant
e
effet
eh
elle
elle-même
elles
elles-mêmes
en
encore
enfin
ensuite
entier
entière
entièrement
entières
entiers
entre
envers
environ
es
essai
essais
ès
est
et
état
états
etant
étaient
étais
était
étant
etc
été
étions
etre
être
êtres
eu
euh
eux
eux-mêmes
excepté
exceptée
exceptées
exceptés
extrêmement
f
façon
faire
fais
faisaient
faisant
fait
faite
faits
faites
faut
feront
fi
flac
floc
fois
font
force
forces
fusse
fusses
fût
fussions
fussiez
fussent
g
gens
golo
grandement
guère
h
ha
habituellement
haut
hé
hein
hélas
hem
hep
hi
hier
ho
holà
hop
hormis
hors
hou
houp
hue
hui
huit
huitième
hum
hurrah
i
ici
il
ils
importe
infiniment
insuffisamment
j
jadis
jamais
je
joliment
jusqu
jusque
juste
k
ka
l
la
là
laquelle
las
le
lequel
les
lès
lesquelles
lesquels
leur
leurs
lol
longtemps
lors
lorsque
lui
lui-même
m
ma
maint
mais
maintenant
malgré
me
même
mêmes
merci
mes
mien
mienne
miennes
miens
mille
mince
mine
moi
moi-même
moins
mon
mot
moyennant
n
na
naguère
ne
néanmoins
neuf
neuvième
ni
nombreuses
nombreux
nommé
nommée
nommées
nommés
non
nos
notre
nôtre
nôtres
nous
nous-mêmes
nouveau
nouveaux
nouvelle
nouvelles
nul
nullement
o
o|
ô
oh
ohé
olé
ollé
on
ont
onze
onzième
ore
ou
oui
où
ouf
ouias
oust
ouste
outre
p
paf
pan
par
parce
parfois
parmi
parole
partant
particulier
particulière
particulièrement
particulières
particuliers
pas
passablement
passé
passée
passées
passés
peine
pendant
personne
personnes
peu
peut
peuvent
peux
pff
pfft
pfut
pi
pièce
pif
plein
plouf
plupart
plus
plusieurs
plutôt
point
pouah
pour
pourquoi
précisément
précis
précise
précises
premier
première
premières
premiers
premièrement
près
presque
probable
probablement
probables
proche
proches
prou
psitt
puis
puisque
q
qu
quand
quant
quanta
quant-à-soi
quarante
quasi
quasiment
quatorze
quatre
quatre-vingt
quatrième
quatrièmement
que
quel
quelconque
quelle
quelles
quelque
quelquefois
quelques
quelqu'un
quels
qui
quiconque
quinze
quoi
quoique
quotidiennement
r
revoici
revoilà
rien
rudement
s
sa
sacrebleu
sans
sapristi
sauf
se
seize
selon
sept
septième
sera
seront
serait
seraient
ses
seulement
si
sien
sienne
siennes
siens
sinon
sitôt
six
sixième
soi
soi-même
soit
soixante
son
sont
soudain
sous
souvent
soyez
stop
subitement
suffisament
suis
sujet
sujets
suivant
sur
surtout
t
ta
tac
tandis
tant
tantôt
tard
té
tel
telle
tellement
telles
tels
tenant
terriblement
tes
tic
tien
tienne
tiennes
tiens
toc
toi
toi-même
ton
tôt
totalement
touchant
toujours
tous
tout
toute
toutefois
toutes
trop
treize
trente
très
trois
troisième
troisièmement
trop
tsoin
tsouin
tu
u
un
une
unes
uns
v
va
vais
valeur
vas
vé
vers
via
vif
vifs
vingt
vivat
vive
vives
vlan
voici
voie
voient
voilà
volontier
vont
vos
votre
vôtre
vôtres
vous
vous-mêmes
vraiment
vraisemblablement
vu
vus
w
x
y
z
zuttop
